count
2
7
7
2
14
1
5
3
1
1
1
1
2
3
1
1
8
9
1
1
6
9
2
1
1
3
5
4
7
2
1
6
1
2
1
3
4
2
2
13
2
3
1
5
7
1
2
4
4
3
6
5
2
2
3
1
8
1
1
4
1
1
2
3
4
7
11
1
1
7
8
1
5
1
3
10
2
2
4
6
1
2
3
3
7
5
2
1
7
5
6
1
4
2
1
1
1
8
3
2
1
3
6
5
1
6
2
2
3
1
4
1
1
1
2
2
2
1
5
2
9
1
2
2
1
2
1
1
11
13
2
7
1
1
2
4
2
4
1
1
1
4
10
3
2
6
1
7
3
4
2
5
7
2
1
2
1
1
13
2
7
1
2
