date_x,home_team_x,away_team_x,home_score,away_score,tournament,city,country,neutral,key,date_y,home_team_y,away_team_y,winner,first_shooter
2022-09-22,Thailand,Malaysia,1,1,King's Cup,Chiang Mai,Thailand,False,2022-09-22_Thailand_Malaysia,2022-09-22,Thailand,Malaysia,Malaysia,unknown
2022-09-23,Iraq,Oman,1,1,Jordan International Tournament,Amman,Jordan,True,2022-09-23_Iraq_Oman,2022-09-23,Iraq,Oman,Oman,unknown
2022-11-16,Latvia,Estonia,1,1,Baltic Cup,Riga,Latvia,False,2022-11-16_Latvia_Estonia,2022-11-16,Latvia,Estonia,Latvia,unknown
2022-11-19,Latvia,Iceland,1,1,Baltic Cup,Riga,Latvia,False,2022-11-19_Latvia_Iceland,2022-11-19,Latvia,Iceland,Iceland,unknown
2022-12-05,Japan,Croatia,1,1,FIFA World Cup,Al Wakrah,Qatar,True,2022-12-05_Japan_Croatia,2022-12-05,Japan,Croatia,Croatia,Japan
2022-12-09,Croatia,Brazil,1,1,FIFA World Cup,Al Rayyan,Qatar,True,2022-12-09_Croatia_Brazil,2022-12-09,Croatia,Brazil,Croatia,Croatia
2023-06-16,Curaçao,Saint Kitts and Nevis,1,1,Gold Cup qualification,Fort Lauderdale,United States,True,2023-06-16_Curaçao_Saint Kitts and Nevis,2023-06-16,Curaçao,Saint Kitts and Nevis,Saint Kitts and Nevis,unknown
2023-06-17,Guyana,Grenada,1,1,Gold Cup qualification,Fort Lauderdale,United States,True,2023-06-17_Guyana_Grenada,2023-06-17,Guyana,Grenada,Guyana,unknown
2023-06-20,Saint Kitts and Nevis,French Guiana,1,1,Gold Cup qualification,Fort Lauderdale,United States,True,2023-06-20_Saint Kitts and Nevis_French Guiana,2023-06-20,Saint Kitts and Nevis,French Guiana,Saint Kitts and Nevis,unknown
2023-07-04,India,Kuwait,1,1,SAFF Cup,Bengaluru,India,False,2023-07-04_India_Kuwait,2023-07-04,India,Kuwait,India,unknown
2023-07-12,United States,Panama,1,1,Gold Cup,San Diego,United States,False,2023-07-12_United States_Panama,2023-07-12,United States,Panama,Panama,unknown
2023-07-13,Åland,Falkland Islands,1,1,Island Games,Saint Sampson,Guernsey,True,2023-07-13_Åland_Falkland Islands,2023-07-13,Åland,Falkland Islands,Åland,unknown
